Title,Description,Price
Interview Coaching - Level 3 Technical and Commercial Awareness (Firm-Specific) Interview Coaching Package (4 Sessions),"**Level 3 Technical & Commercial Awareness Interview Coaching Background:**This level of interview coaching is designed to help you to pass 1st round interview. Unlike Level 2 Competency-based Interview Coaching, Level 3Â focuses on Technical Knowledge and Commerical Awareness of the company/department you have got interview invitation from. You will be able to select, book and rate the mentor(s) viaÂ our PlatformÂ who are/have been working in the department that you want to get into and get coached by them!",1956
Interview Coaching - Level 4 Integration/Partner Level Interview Coaching (90 Minutes Session),"**Level 4 Background:**This is the Partner/MD LevelÂ equivalentÂ interivewÂ coaching service. It integrates CIUK's Level 1, 2 and 3 together with lots of additional interview questions that are only available during anÂ acutalÂ Partner/MDÂ interview. If you have an upcoming final Partner/MD interview, then this is definitely the right coaching service you should have beforehand!",699
Investment Bank Industry Application Form Professional Review/Amendment Package (8 Companies),"**Firm List:**You can choose any 8 Investment Banks from the list below and get your application forms professionally reviewed within 2 working days!Company List: Bank of America Merrill Lynch, Barclays Bank, Barclays Capital, Bloomberg, BNP Paribas, Citi, Goldman Sachs, HSBC, JP Morgan, Morgan Stanley, RBS, UBS, Deutsche Bank, Credit Suisse, Lloyds Banking Group, Nomura,Â Shroders, Rothchild,Â Jeffereys, Fidelity.",989.99
Investment Bank Industry Application Form Professional Review/Amendment Packages (4 Companies),"**Firm List:**You can choose any 4 Investment Banks from the list below and get your application forms professionally reviewed within 2 working days!Company List: Bank of America Merrill Lynch, Barclays Bank, Barclays Capital, Bloomberg, BNP Paribas, Citi, Goldman Sachs, HSBC, JP Morgan, Morgan Stanley, RBS, UBS, Deutsche Bank, Credit Suisse, Lloyds Banking Group, Nomura,Â Shroders, Rothchild, Fidelity, Jefferey.",599.99
Mock Assessment Centre Coaching Service (4 Company Package),"**What Services This Package Invovles:**You will get 8 times assessment centre coaching services (for Standard and Adavanced Levels) for up to 4 companies of your choice (see company list below).",4399
Job Application Form Review/Amendment Services,"Application Form Review/Amendment Services**What the service involves:**We will professionally review one application form for you through ourÂ  online digital platform and get back to you within 2 working days.",129.99
Our Constantly-Reviewed 32 Key Competency Question List 2016 - 2017,"Competency Questions are among the most commonly asked questions for any kind of interviews.Â It requires you to give very specific example(s) to demonstrate that you have got what the companies are looking for. It can range from e.g. Leadership, Team Work, Persuasion, Presentation, Multitasking, Organisational Skills, Pressure Resisting to Personal Interests and Hobbies etc.",129
Tier 1 (Entrepreneur) Visa Consultation Service,"""Britain is open for business",
,,
Do you want to stay in the UK and start your own business or own part of someone elses?,,
,,
A Tier 1 Entrepreneur Visa is the best way for you to work and live in the UK," if you wish to become an entrepreneur or contribute your talent and finances to an already successful business seeking funds.""",9950
Tier 1 (Investor) Visa Consultation Service,"The UK has long been recognised as a global leader in financial services, housing, exports and education, London is one of the top 10 global inhabitants for High Net Worth Individuals.CIUK has a proven track record dealing discreetly and successfully with wealthy individuals and has built a solid reputationÂ ofÂ excellence and integrity. Through our extensive network and knowledge of the UKÂ marketÂ we can match you with investment opportunities or FCA regulated Investment Professionals who we have completed due diligence on in previous cases.",4999
Big4 China Full Time 4 Companies with Interview Guarantee* and No Win No Fee,"Do you haveÂ legalÂ right of abode inÂ China/Hong KongÂ and want to get into the booming Professional Services Industry? If so, then this is a really good programme for you. Through our digital platform, you will gain access to one-to-one training with people who have been working in China/Hong Kong's Big4s at a senior level. They will give you first-hand insights into the industry all the 'do's and don'ts' during the recruitment process. Plus, you will haveÂ abilityÂ to use this service whether you are in China or inÂ UK, thanks to our unique online digital platform. The standard package will also apply for this programme.",1999
China Full Time 4 Companies with Interview Guarantee* and No Win No Fee*,"Are you thinking of returning back to China after graduation in the UK? Did you know that lots of multinationalÂ companies have a special recruitment process for overseas students studying in the UK? Did you also know that you can secure your offer even before returning to your home country?If you do NOTÂ want to join the massive queues in China's graduate job market, then this programme could be the ideal matchÂ for you.Â ",2999
Big6 + iBank UK Internship 16 Companies with Internship Offer Guarantee* and No Win No Fee*,"This programme is designed for candidates who want to apply for bothÂ Professional ServicesÂ andÂ Investment Banking industries with the aim of securing at least one full time summer internship or placement year offer among the sixteen companies, six Big6s and ten Investment Banks, included in the package. This career coaching programme was developed specifically for summer internship/placement year opportunities, based on our full time offer guarantee programme.Throughout the years, CIUK has helped hundreds of students to secure their dream job offers in their desired companies. With accumulated experience and unrivalled expertise combined with our unique online digital Platform.",16299
Engineering + iBankâ„¢ + Big4â„¢ UK Internship Career Coaching Programme (14 Company Package with Interview Guarantee* and No Win No Fee*),Do you have a relatively open mind regarding where to start your professional career? You might be from an Engineering academic background but you are also willing to start your career in Engineering or in the professional and financial services industry? If that is the case then this programmeÂ is a perfect match for your goals.,4899
Presentation (on its own),You will have the opportunity to present your case to an experienced CIUK assessor and be coached for the presentation skills;,299
Role Play (90 Minutes),Two Role Play exercises with one of CIUK's senior assessors; One with a fictional potential client and one with your fitional line manager,499
Written Exercise (Business Report; E-Tray Email Drafting),"For this exercise you will be given a writing task similar to those used in Professional Services,Â Banking and Law companies; You can choose the format of either a Business Report Style or an E-Tray Email Drafting Style",549.99
Module 1: Accounting (Certificate Level),This is the Certificated Level module of the ACA qualification awarded by Institute of Chartered Accountant in England and Wales (ICAEW).,1400
Dutch Visa Application Service Package,"Have you ever wondered about working and living in the Netherlands? Are you disheartened by the opportunities that the UK has, due to the negative Visa climate? The Netherlands has an excellent reputation for converting 97% of its graduates to full time work.",3499
Big4 China Full Time 4 Companies with Offer Guarantee* and No Win No Fee*,"Are you thinking of returning back to China after graduation in the UK? Do you know that lots of multinationalÂ companies have special recruitment process for overseas students studying in the UK? Do you also know that you can secure your offer even before returning to your home country?If you do NOTÂ want to join the massive queues in China's graduate job market, then this programme could be the ideal matchÂ for you.Â ",4999
Module 2: Audit and Assurance (Certificate Level),This is the Certificated Level module of the ACA qualification awarded by Institute of Chartered Accountant in England and Wales (ICAEW).,1400
iBank HK Full Time 10 Companies with Interview Guarantee* and No Win No Fee*,"Being the most money-making industry in the world, having a career start in a top investment bank is certainly many ambitious graduates' goal. In order to achieve this, not only you need to be academically competitive, but also you need to understand the requirement of the industry really well and present the best throughout the recruitment processÂ in order to stand out from the crowd. ThisÂ ***Breakinginto- iBankâ„¢***Â Career Coaching Programme is precisely designed for doing that.",3699
Big4 Hong Kong Full Time 4 Companies with Offer Guarantee* and No Win No Fee*,This is one of CIUK'sÂ ultimate OFFER GUARANTEE* programmes specifically tailored for the Big4 in Hong Kong. We are proud to offer this programme which provides you with 100% confidence for job hunting in Hong Kong's top Professional Service Industry! Results are achievable dueÂ to CIUK's vast resources and experience in the graduate recruitmentÂ sector coupledÂ with our unique online digital platform.Â ,9899
FMCG Leaders of Tomorrow UK Internship Career Coaching Programme (10 Company Package with 1st Round Interview Guarantee* and No Win No Fee*),"**Programme Background:**Do you love to get interaction with clients rather than sitting in the office all the time? Are you a very 'market-oriented' person rather than being very philosophical? If your answer is 'Yes' to both questions, then you probably can consider Fast Moving Consumer Goods Industry (FMCG) as your starting career option. Be warned, this career path is full of excitement as well as challenges! But one thing for sure, you will get rewarded properly if you do well!",3599
iBank HK Internship 10 Companies with Interview Guarantee* and No Win No Fee*,"Being the most money-making industry in the world, having a career start in a top investment is certainly many ambitious graduates' goal. In order to achieve this, not only you need to be academically competitive, but also you need to understand the requirement of the industry really well and present the best throughout the recruitment processÂ in order to stand out from the crowd. ThisÂ ***Breakinginto-iBankâ„¢***Â Career Coaching Programme is precisely designed for doing that.",3699
Big10 UK Internship 10 Companies with Interview Guarantee* and No Win No Fee*,"If Professional Services Industry is your ideal career path, then look no further. By utilising CIUK's vast resources and network in the sector, we are proud to launch this Breaking Into-Big10 UK Internship Career Coaching Programme, with a First Round Interview Guarantee*. Don't forget that at the end of the internship, you will also get a FREE conversion coaching service to assist in obtaining a full time role!",3999
iBank HK Summer Internship 20 Companies with Offer Guarantee* and No Win No Fee*,"Investment Banking is the ultimate career start for the top & ambitious few. The competition for entering is undoubtedly the most intense one among all graduate schemes howeverÂ a summer internship in one of the top investment banks will give you a competitive edge and put your one foot in the door. Through the years, CIUK has helped hundreds of students to secure such dream offers in their desired companies and with those accumulated experience and unrivalled expertise, combined with our unique Online Interactive Platform, we are finally able to have this ultimate career coaching programme which guarantees you an offer in one of those top investment banks in Hong Kong!Â ",16699
iBank HK Full Time 20 Companies with Offer Guarantee* and No Win No Fee*,"Investment Banking is the ultimate career start for the top & ambitious few. The competition for entering is undoubtedly the most intense one among all graduate schemes. Through the years, CIUK has helped hundreds of students to secure such dream offers in their desired companies and with those accumulated experience and unrivalled expertise, combined with our unique Online Interactive Platform, we are finally able to have this ultimate career coaching programme which guarantees you an offer in one of those top investment banks in Hong Kong!Â ",18699
Big4 + iBank HK Full Time 14 Companies with Offer Guarantee* and No Win No Fee*,"This programme is designed for candidates who want to apply for roles in both theÂ Professional ServicesÂ andÂ Investment Banking industries in Hong Kong. Â Additionally**,Â **it is for those that want to secure at least one full time graduate scheme offer amongst the fourteen companies, four Big4s and ten Investment Banks, included in the package.",12699
CIUK Introductory Internship Career Coaching Programme,"At Career Interactive, adding value for our customers lies at the heart of our company's beliefs. Over the last 7 years, our prices have been steadily coming down. This can only be achieved because of our increased efficiency and economies of scale, as well as continuously improving standards and results. We have constantly listened to our customer's feedback and we are pleased to offer thisÂ 'CIUK Introductory Internship Career CoachingÂ Programme',Â so thatÂ manyÂ more can benefit from CIUK's programmes.",1499
Actuary UK Internship 10 Companies with Interview Guarantee* and No Win No Fee*,"Are you studyingÂ **Actuarial Science**Â or from a strong Maths-related background? Do you want to become a UK qualifiedÂ Actuary? With an annual starting salary of Â£80,000 for newly qualified Actuaries, it is difficult to say no.Â QualifiedÂ ActuariesÂ are highly sought afterÂ in the UK as well as other developed and developing countries. This demand for talent is set to continue for many years to come. The UK is one of the leading players in the Actuary industry, in fact the world's first insurance company was established in the City more than 300 years ago. So if you can qualify for an Actuary role in the UK, you will be on course for a highly lucrative career path. By combining our unique digital platform with industry experience alongsideÂ our Actuary Mentor Network,Â we can guarantee success.",3999
Big4 + iBank UK Internship 10 Companies with Interview Guarantee* and No Win No Fee*,"Want to get into a Big4 or InvestmentÂ Banking but need a bit of support? Although this is a ten company package, it still comes with a First Round Interview Guarantee * !Â Â By combining two industries together, you are maximising your chances of getting into one of the top financial service companies. With accumulated experience and unrivalled expertise combined with our unique online digital Platform, we can work together to increase your chances of success. Furthermore, at the end of the internship/placement, you will also get a FREE conversion coaching service to assist in obtaining a full time role!",3999
Big4 + iBank + FMCG UK Internship 14 Companies with Interview Guarantee* and No Win No Fee*,"Securing an internship/placement in your penultimate yearÂ is essential for obtaining any full time top role later on. This programme combines Professional Services, Investment Banking and FMCG industries together to offer you the widest exposure possible to these three industries. At the end of the internship, you will also get a FREE conversion coaching service to assist in obtaining a full time role! Â ",4299
Big4 + iBank UK Internship 14 Companies with Interview Guarantee* and No Win No Fee*,"Want to get into a Big4 or InvestmentÂ Banking but need some support? This is the 14 company package which gives you a much bigger exposure to the Investment Banking Industry as well as the Big4 coverage. Although this is a ten company package, it still comes with a First Round Interview Guarantee * !Â Â By combining two industries together, you are maximising your chances of getting into one of the top financial service companies. With accumulated experience and unrivalled expertise combined with our unique online digital Platform, we can work together to increase your chances of success. At the end of the internship/placement, you will also get a FREE conversion coaching service to assist in obtaining a full time role!",4599
City Lawyer + Big4 UK Internship 14 Companies with Interview Guarantee* and No Win No Fee*,"London is the Legal Capital of the world. That is why most of the world's top law firms have headquarters and a strong presence in the City. This programme aims to help youÂ secure your trainee contract at one of the top law firms in the UK with the added capacity for you apply for Big4 as a plan B.Please note that you do not have to study for a Law degree to apply for a trainee contract in the law firms. If you are studying towards LLM with no prior Law degree in the UK, you will still need to do aÂ **GDL (Graduate Diploma in Law)**Â course followed by aÂ **LPC (Legal Practice Course)**. However you should start looking for a training contract before you graduate from your university, because Law Firms start their recruitment process 2 years in advance. The other benefit of securing your offer while studying your GDL orÂ LPC course is that the Firm may sponsor your tuition fee and even living expenses!",3999
Cover Letter Professional Writing Service,"Unlike a CV which can be used across different companies, a Cover Letter needs to be specific to the company or department you are applying for. A good Cover Letter can set you apart because it demonstrates your interests and your prior research of the company you are applying for. It is also an excellent opportunity to 'sell' yourself.",249.99
iBank UK Internship 20 Companies with Offer Guarantee* and No Win No Fee*,"Investment Banking is the ultimate career start for the top & ambitious few. The competition for entering is undoubtedly the most intense one among all graduate schemes and therefore having an internship in the Investment Bank in your penultimate year is essential (especially for front office roles). Through the years, CIUK has helped hundreds of students to secure such dream offers in their desired companies and with those accumulated experience and unrivalled expertise, combined with our unique Online Interactive Platform, we are finally able to have this ultimate career coaching programme which guarantees you an internship offer in one of those top investment banks in the world! Â ",18999
iBank UK Internship 10 Companies with Interview Guarantee* and No Win No Fee*,"**Programme Background:**If you start your career in investment banking, then it is almost essential to have aÂ relevant internship on your CV. This is especially true if you want to get into front office for your full time position. This programme is designed to equip you with all the necessary knowledge (including commercial awareness and technical aspects) of the Investment Banking industry and coach you all the skills for you to stand out during the recruitment process. The journey to a top position is always tough, however with our experienced Mentors and our unique Platform behind you, you should not be worried! What's more, this programme also includes a free conversion coaching service at the end of your internship, which helps you to secure your full time return offer!Â Â ",3999
